,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,3,0:49:25.230299,0:27:51.186273,0:00:05.299725,1:17:21.716297
1,1,3,0:00:00.008001,0:20:44.544849,0:01:34.728594,0:22:19.281444
2,2,4,0:00:00.008003,0:21:15.590115,0:01:37.268574,0:22:52.866692
3,3,5,0:00:00.012002,0:21:06.964401,0:02:09.418576,0:23:16.394979
4,4,5,0:00:00.011000,0:20:21.114540,0:02:40.892386,0:23:02.017926
5,5,7,0:00:00.008002,0:16:38.741857,0:02:49.029797,0:19:27.779656
6,6,7,0:00:00.011000,0:28:31.576372,0:03:49.475112,0:32:21.062484
7,7,7,0:00:00.010998,0:19:12.902942,0:03:46.024455,0:22:58.938395
8,8,7,0:00:00.008002,0:18:20.416896,0:03:36.329517,0:21:56.754415
9,9,7,0:00:00.008001,0:20:21.011166,0:03:45.492561,0:24:06.511728
