,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,1,0.1007120809991606,[0.03]
1,1,2,0.07771381577515905,"[0.009999999999999998, 0.03]"
2,2,4,0.13102449915165443,"[0.009999999999999998, 0.015, 0.020000000000000004, 0.0050000000000000044]"
3,3,5,0.1329896676849456,"[0.009999999999999998, 0.015, 0.020000000000000004, 0.0050000000000000044, 0.024999999999999994]"
4,4,5,0.1329896676849456,"[0.009999999999999998, 0.015, 0.020000000000000004, 0.0050000000000000044, 0.024999999999999994]"
5,5,5,0.1279896676849456,"[0.009999999999999998, 0.015, 0.0050000000000000044, 0.024999999999999994, 0.015]"
6,6,6,0.11117831639604481,"[0.015, 0.009999999999999998, 0.015, 0.0050000000000000044, 0.024999999999999994, 0.015]"
7,7,6,0.11117831639604481,"[0.015, 0.009999999999999998, 0.015, 0.0050000000000000044, 0.024999999999999994, 0.015]"
8,8,6,0.11117831639604481,"[0.015, 0.009999999999999998, 0.015, 0.0050000000000000044, 0.024999999999999994, 0.015]"
9,9,6,0.10784498306271147,"[0.015, 0.010000000000000002, 0.0049999999999999975, 0.015, 0.0050000000000000044, 0.024999999999999994]"
