,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,1,1:38:33.116043,0:27:18.190789,0:00:03.148888,2:05:54.455720
1,1,2,0:00:00.006000,0:14:56.948858,0:00:33.722492,0:15:30.677350
2,2,4,0:00:00.008001,0:22:57.273363,0:01:10.108151,0:24:07.389515
3,3,5,0:00:00.007000,0:25:00.439051,0:02:05.312027,0:27:05.758078
4,4,5,0:00:00.007000,0:24:43.447009,0:02:34.806127,0:27:18.260136
5,5,5,0:00:00.009000,0:18:54.535470,0:02:25.119421,0:21:19.663891
6,6,6,0:00:00.006000,0:22:50.068371,0:02:29.191738,0:25:19.266109
7,7,6,0:00:00.006000,0:17:15.494499,0:02:48.974991,0:20:04.475490
8,8,6,0:00:00.005999,0:18:33.716605,0:02:50.746557,0:21:24.469161
9,9,6,0:00:00.006000,0:20:20.671267,0:03:01.314058,0:23:21.991325
