,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,2,0.18464705328679287,"[0.037500000000000006, 0.03]"
1,1,4,0.13798917866605692,"[0.06749999999999999, 0.075, 0.007500000000000007, 0.03]"
2,2,7,0.1416662062690523,"[0.06749999999999999, 0.075, 0.007500000000000007, 0.06, 0.0375, 0.007500000000000007, 0.022499999999999992]"
3,3,7,0.13416620626905232,"[0.075, 0.007500000000000007, 0.06, 0.0375, 0.007500000000000007, 0.007499999999999993, 0.030000000000000002]"
4,4,7,0.14380906341190944,"[0.075, 0.007500000000000007, 0.0375, 0.007500000000000007, 0.007499999999999993, 0.030000000000000002, 0.03749999999999999]"
5,5,7,0.14166620626905232,"[0.075, 0.007500000000000007, 0.0375, 0.007500000000000007, 0.007499999999999993, 0.030000000000000002, 0.022499999999999992]"
6,6,8,0.14448292423660625,"[0.075, 0.007500000000000007, 0.0375, 0.007500000000000007, 0.007499999999999993, 0.022499999999999992, 0.1125, 9.813077866773595e-18]"
7,7,8,0.14917042423660626,"[0.075, 0.075, 0.007500000000000007, 0.0375, 0.007500000000000007, 0.007499999999999993, 0.022499999999999992, 9.813077866773595e-18]"
8,8,9,0.15011989626179637,"[0.045, 0.08249999999999999, 0.075, 0.007500000000000007, 0.0375, 0.007500000000000007, 0.007499999999999993, 0.022499999999999992, 9.813077866773595e-18]"
9,9,9,0.15011989626179637,"[0.045, 0.08249999999999999, 0.075, 0.007500000000000007, 0.0375, 0.007500000000000007, 0.007499999999999993, 0.022499999999999992, 9.813077866773595e-18]"
