,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,2,0:43:30.321004,0:28:36.676800,0:00:03.916673,1:12:10.914477
1,1,4,0:00:00.008000,0:17:27.755191,0:01:07.678084,0:18:35.441275
2,2,7,0:00:00.010000,0:25:34.042438,0:02:24.698805,0:27:58.751243
3,3,7,0:00:00.009001,0:27:56.692902,0:03:34.893271,0:31:31.595174
4,4,7,0:00:00.010999,0:21:30.211205,0:03:30.238104,0:25:00.460308
5,5,7,0:00:00.008001,0:18:13.088566,0:03:31.665077,0:21:44.761644
6,6,8,0:00:00.006997,0:17:08.471465,0:03:50.078702,0:20:58.557164
7,7,8,0:00:00.012001,0:26:33.239879,0:04:06.264715,0:30:39.516595
8,8,9,0:00:00.013001,0:24:36.863878,0:04:27.149410,0:29:04.026289
9,9,9,0:00:00.014001,0:30:35.587730,0:04:36.158071,0:35:11.759802
