,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,1,1,0:00:00.004001,0:09:05.622596,0:00:04.142647,0:09:09.769244
11,2,1,0:00:00.006000,0:12:39.350429,0:00:23.040102,0:13:02.396531
22,3,3,0:00:00.005997,0:12:24.230512,0:00:26.009125,0:12:50.245634
33,4,3,0:00:00.007000,0:24:05.824745,0:01:06.640222,0:25:12.471967
44,5,4,0:00:00.006999,0:12:57.732645,0:00:59.305569,0:13:57.045213
45,6,5,0:00:00.005991,0:14:35.360667,0:01:16.792678,0:15:52.159336
46,7,5,0:00:00.005990,0:22:02.061769,0:01:45.679430,0:23:47.747189
47,8,5,0:00:00.006001,0:17:05.138971,0:01:36.231791,0:18:41.376763
48,9,6,0:00:00.004997,0:10:50.587198,0:01:39.296992,0:12:29.889187
1,10,7,0:00:00.006998,0:21:13.039711,0:01:53.919202,0:23:06.965911
2,11,7,0:00:00.007000,0:17:02.951734,0:02:11.502133,0:19:14.460867
3,12,7,0:00:00.004000,0:16:00.360683,0:02:14.984892,0:18:15.349575
4,13,7,0:00:00.003999,0:13:47.768258,0:02:11.962896,0:15:59.735153
5,14,7,0:00:00.003999,0:15:22.744248,0:02:11.617459,0:17:34.365706
6,15,7,0:00:00.003999,0:15:40.278900,0:02:07.342723,0:17:47.625622
7,16,7,0:00:00.005002,0:15:34.784558,0:02:15.604701,0:17:50.394261
8,17,7,0:00:00.003999,0:15:27.117999,0:02:07.265920,0:17:34.387918
9,18,7,0:00:00.002998,0:11:28.414370,0:02:06.949609,0:13:35.366977
10,19,8,0:00:00.003999,0:10:20.979060,0:02:20.130037,0:12:41.113096
12,20,8,0:00:00.004825,0:16:19.498170,0:02:37.390823,0:18:56.893818
13,21,8,0:00:00.005999,0:15:52.928799,0:02:33.653591,0:18:26.588389
14,22,8,0:00:00.004999,0:14:22.841941,0:02:30.107332,0:16:52.954272
15,23,8,0:00:00.004999,0:15:17.265991,0:02:34.429390,0:17:51.700380
16,24,8,0:00:00.003998,0:12:32.785206,0:02:34.487363,0:15:07.276567
17,25,8,0:00:00.003999,0:12:32.754727,0:02:30.359437,0:15:03.118163
18,26,8,0:00:00.004000,0:12:41.988923,0:02:34.827072,0:15:16.819995
19,27,8,0:00:00.003998,0:12:47.755644,0:02:33.922416,0:15:21.682058
20,28,9,0:00:00.004000,0:11:47.484271,0:02:39.745326,0:14:27.233597
21,29,9,0:00:00.005999,0:13:17.985608,0:02:52.629616,0:16:10.621223
23,30,9,0:00:00.004000,0:13:54.268626,0:02:48.169819,0:16:42.442445
24,31,9,0:00:00.004000,0:12:56.608955,0:02:52.864958,0:15:49.477913
25,32,9,0:00:00.005002,0:12:31.114045,0:02:54.659910,0:15:25.778957
26,33,9,0:00:00.004999,0:14:58.086811,0:02:52.778606,0:17:50.870416
27,34,9,0:00:00.003997,0:11:57.445193,0:03:02.687317,0:15:00.136507
28,35,9,0:00:00.003999,0:11:19.829370,0:02:52.669779,0:14:12.503148
29,36,9,0:00:00.003999,0:13:36.229142,0:03:06.764197,0:16:42.997338
30,37,9,0:00:00.005000,0:13:38.385898,0:02:47.526752,0:16:25.917650
31,38,9,0:00:00.003999,0:13:29.544797,0:02:59.886616,0:16:29.435412
32,39,9,0:00:00.003998,0:12:00.467261,0:03:01.277537,0:15:01.748796
34,40,9,0:00:00.004002,0:12:48.574991,0:03:03.561540,0:15:52.140533
35,41,9,0:00:00.005012,0:13:56.379510,0:02:46.990613,0:16:43.375135
36,42,9,0:00:00.003998,0:14:11.451363,0:02:48.197795,0:16:59.653156
37,43,9,0:00:00.003999,0:12:39.195354,0:02:53.234108,0:15:32.433461
38,44,9,0:00:00.004000,0:13:34.631152,0:02:57.050893,0:16:31.686045
39,45,9,0:00:00.004000,0:13:27.283431,0:02:53.584831,0:16:20.872262
40,46,9,0:00:00.004000,0:11:05.468188,0:03:02.961751,0:14:08.433939
41,47,9,0:00:00.004000,0:12:50.234161,0:02:57.438447,0:15:47.676608
42,48,9,0:00:00.004001,0:13:43.002939,0:02:57.806140,0:16:40.813080
43,49,9,0:00:00.004000,0:12:35.462660,0:02:51.988499,0:15:27.455159
