,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,6,0.22903147393931675,"[0.05, 0.15000000000000002, 0.05, 0.15000000000000002, 0.07500000000000002, 0.15000000000000002]"
1,1,10,0.18393340974595027,"[0.05, 0.15000000000000002, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.1, 0.07500000000000002, 0.15000000000000002]"
2,2,11,0.18064815692126396,"[0.05, 0.15000000000000002, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.1, 0.07500000000000001, 0.125, 0.07500000000000002]"
3,3,11,0.1874663387394458,"[0.05, 0.15000000000000002, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.1, 0.07500000000000001, 0.04999999999999999, 0.07500000000000002]"
4,4,14,0.18554899109480136,"[0.05, 0.15000000000000002, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.1, 0.07500000000000001, 0.04999999999999999, 0.07500000000000002, 0.125, 0.225, 0.125]"
5,5,19,0.1827349547236471,"[0.05, 0.15000000000000002, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.1, 0.07500000000000001, 0.04999999999999999, 0.07500000000000002, 0.225, 0.125, 0.10000000000000002, 0.07500000000000002, 0.07500000000000002, 0.025, 0.12499999999999999, 0.125]"
6,6,22,0.18453982804026056,"[0.05, 0.15000000000000002, 0.15, 0.05, 0.1, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.1, 0.07500000000000001, 0.04999999999999999, 0.07500000000000002, 0.225, 0.125, 0.10000000000000002, 0.07500000000000002, 0.07500000000000002, 0.025, 0.12499999999999999, 0.125]"
7,7,23,0.18940443626203815,"[0.05, 0.15000000000000002, 0.15, 0.05, 0.1, 0.07500000000000001, 0.07500000000000001, 0.15000000000000002, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.07500000000000001, 0.04999999999999999, 0.07500000000000002, 0.225, 0.125, 0.07500000000000002, 0.07500000000000002, 0.025, 0.12499999999999999, 0.125]"
8,8,25,0.19089306644605838,"[0.05, 0.15000000000000002, 0.15, 0.05, 0.1, 0.07500000000000001, 0.07500000000000001, 0.15000000000000002, 0.15000000000000002, 0.05, 0.02500000000000001, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.07500000000000001, 0.04999999999999999, 0.07500000000000002, 0.225, 0.125, 0.07500000000000002, 0.07500000000000002, 0.025, 0.12499999999999999, 0.125]"
9,9,25,0.19289306644605836,"[0.05, 0.15000000000000002, 0.15, 0.05, 0.1, 0.07500000000000001, 0.07500000000000001, 0.15000000000000002, 0.05, 0.02500000000000001, 0.10000000000000003, 0.02500000000000001, 0.05, 0.02500000000000001, 0.05, 0.07500000000000001, 0.04999999999999999, 0.07500000000000002, 0.225, 0.125, 0.07500000000000002, 0.07500000000000002, 0.025, 0.12499999999999999, 0.125]"
