,Generation id,Number of archives,Average fog amount for whole generation,Name of the individual,Fog density of failure version,Fog density of successful version,Average fog density of individual,standard deviation
0,0,6,0.23623564454063906,ind1,0.3948603135239197,0.09486031352391963,0.24486031352391968,0.15000000000000005
1,0,6,0.23623564454063906,ind2,0.3623428931996081,0.16234289319960807,0.2623428931996081,0.10000000000000003
2,0,6,0.23623564454063906,ind3,0.23760628430867842,0.08760628430867841,0.1626062843086784,0.07500000000000001
3,0,6,0.23623564454063906,ind4,0.3604566876012179,0.06045668760121787,0.21045668760121788,0.15000000000000002
4,0,6,0.23623564454063906,ind5,0.36913143024869144,0.21913143024869144,0.29413143024869143,0.075
5,0,6,0.23623564454063906,ind9,0.3430162583617189,0.14301625836171888,0.2430162583617189,0.1
13,1,8,0.2008629016983578,ind3,0.23760628430867842,0.08760628430867841,0.1626062843086784,0.07500000000000001
12,1,8,0.2008629016983578,ind29,0.21913143024869144,0.11913143024869144,0.16913143024869143,0.05
11,1,8,0.2008629016983578,ind28,0.31045668760121786,0.06045668760121787,0.18545668760121786,0.125
10,1,8,0.2008629016983578,ind26,0.21234289319960808,0.16234289319960807,0.18734289319960806,0.02500000000000001
9,1,8,0.2008629016983578,ind25,0.2948603135239196,0.09486031352391963,0.19486031352391964,0.09999999999999999
8,1,8,0.2008629016983578,ind21,0.3170263918648438,0.1670263918648438,0.24202639186484382,0.07500000000000001
7,1,8,0.2008629016983578,ind18,0.3430162583617189,0.19301625836171887,0.2680162583617189,0.07500000000000001
6,1,8,0.2008629016983578,ind13,0.29746295447818427,0.09746295447818429,0.1974629544781843,0.09999999999999999
25,2,12,0.19577723802948008,ind48,0.28153888343560346,0.08153888343560346,0.18153888343560345,0.1
24,2,12,0.19577723802948008,ind47,0.2585383942329116,0.058538394232911545,0.15853839423291155,0.10000000000000003
23,2,12,0.19577723802948008,ind46,0.32117781774945,0.27117781774945,0.29617781774944996,0.024999999999999994
22,2,12,0.19577723802948008,ind44,0.2561685473489332,0.05616854734893317,0.15616854734893318,0.1
21,2,12,0.19577723802948008,ind33,0.2170263918648438,0.1670263918648438,0.1920263918648438,0.024999999999999994
20,2,12,0.19577723802948008,ind3,0.23760628430867842,0.08760628430867841,0.1626062843086784,0.07500000000000001
15,2,12,0.19577723802948008,ind18,0.3430162583617189,0.19301625836171887,0.2680162583617189,0.07500000000000001
18,2,12,0.19577723802948008,ind28,0.31045668760121786,0.06045668760121787,0.18545668760121786,0.125
17,2,12,0.19577723802948008,ind26,0.21234289319960808,0.16234289319960807,0.18734289319960806,0.02500000000000001
16,2,12,0.19577723802948008,ind25,0.2948603135239196,0.09486031352391963,0.19486031352391964,0.09999999999999999
14,2,12,0.19577723802948008,ind13,0.29746295447818427,0.09746295447818429,0.1974629544781843,0.09999999999999999
19,2,12,0.19577723802948008,ind29,0.21913143024869144,0.11913143024869144,0.16913143024869143,0.05
33,3,12,0.19577723802948008,ind33,0.2170263918648438,0.1670263918648438,0.1920263918648438,0.024999999999999994
37,3,12,0.19577723802948008,ind55,0.2085383942329116,0.058538394232911545,0.13353839423291158,0.07500000000000002
36,3,12,0.19577723802948008,ind53,0.2561685473489332,0.10616854734893318,0.18116854734893317,0.07500000000000001
35,3,12,0.19577723802948008,ind48,0.28153888343560346,0.08153888343560346,0.18153888343560345,0.1
34,3,12,0.19577723802948008,ind46,0.32117781774945,0.27117781774945,0.29617781774944996,0.024999999999999994
32,3,12,0.19577723802948008,ind3,0.23760628430867842,0.08760628430867841,0.1626062843086784,0.07500000000000001
30,3,12,0.19577723802948008,ind28,0.31045668760121786,0.06045668760121787,0.18545668760121786,0.125
29,3,12,0.19577723802948008,ind26,0.21234289319960808,0.16234289319960807,0.18734289319960806,0.02500000000000001
28,3,12,0.19577723802948008,ind25,0.2948603135239196,0.09486031352391963,0.19486031352391964,0.09999999999999999
27,3,12,0.19577723802948008,ind18,0.3430162583617189,0.19301625836171887,0.2680162583617189,0.07500000000000001
26,3,12,0.19577723802948008,ind13,0.29746295447818427,0.09746295447818429,0.1974629544781843,0.09999999999999999
31,3,12,0.19577723802948008,ind29,0.21913143024869144,0.11913143024869144,0.16913143024869143,0.05
47,4,12,0.19369390469614675,ind53,0.2561685473489332,0.10616854734893318,0.18116854734893317,0.07500000000000001
49,4,12,0.19369390469614675,ind91,0.2474629544781843,0.09746295447818429,0.1724629544781843,0.07500000000000001
48,4,12,0.19369390469614675,ind55,0.2085383942329116,0.058538394232911545,0.13353839423291158,0.07500000000000002
46,4,12,0.19369390469614675,ind48,0.28153888343560346,0.08153888343560346,0.18153888343560345,0.1
45,4,12,0.19369390469614675,ind46,0.32117781774945,0.27117781774945,0.29617781774944996,0.024999999999999994
44,4,12,0.19369390469614675,ind33,0.2170263918648438,0.1670263918648438,0.1920263918648438,0.024999999999999994
43,4,12,0.19369390469614675,ind3,0.23760628430867842,0.08760628430867841,0.1626062843086784,0.07500000000000001
42,4,12,0.19369390469614675,ind29,0.21913143024869144,0.11913143024869144,0.16913143024869143,0.05
41,4,12,0.19369390469614675,ind28,0.31045668760121786,0.06045668760121787,0.18545668760121786,0.125
40,4,12,0.19369390469614675,ind26,0.21234289319960808,0.16234289319960807,0.18734289319960806,0.02500000000000001
39,4,12,0.19369390469614675,ind25,0.2948603135239196,0.09486031352391963,0.19486031352391964,0.09999999999999999
38,4,12,0.19369390469614675,ind18,0.3430162583617189,0.19301625836171887,0.2680162583617189,0.07500000000000001
59,5,12,0.19369390469614675,ind53,0.2561685473489332,0.10616854734893318,0.18116854734893317,0.07500000000000001
58,5,12,0.19369390469614675,ind48,0.28153888343560346,0.08153888343560346,0.18153888343560345,0.1
57,5,12,0.19369390469614675,ind46,0.32117781774945,0.27117781774945,0.29617781774944996,0.024999999999999994
56,5,12,0.19369390469614675,ind33,0.2170263918648438,0.1670263918648438,0.1920263918648438,0.024999999999999994
55,5,12,0.19369390469614675,ind3,0.23760628430867842,0.08760628430867841,0.1626062843086784,0.07500000000000001
60,5,12,0.19369390469614675,ind55,0.2085383942329116,0.058538394232911545,0.13353839423291158,0.07500000000000002
53,5,12,0.19369390469614675,ind25,0.2948603135239196,0.09486031352391963,0.19486031352391964,0.09999999999999999
52,5,12,0.19369390469614675,ind18,0.3430162583617189,0.19301625836171887,0.2680162583617189,0.07500000000000001
51,5,12,0.19369390469614675,ind113,0.26913143024869146,0.21913143024869144,0.24413143024869144,0.02500000000000001
50,5,12,0.19369390469614675,ind112,0.16045668760121787,0.06045668760121787,0.11045668760121787,0.05
54,5,12,0.19369390469614675,ind26,0.21234289319960808,0.16234289319960807,0.18734289319960806,0.02500000000000001
61,5,12,0.19369390469614675,ind91,0.2474629544781843,0.09746295447818429,0.1724629544781843,0.07500000000000001
