,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,4,0:44:39.864529,0:27:35.997338,0:00:06.765105,1:12:22.626972
1,1,5,0:00:00.019999,0:23:55.690650,0:02:02.899396,0:25:58.610045
12,2,7,0:00:00.020001,0:24:06.443710,0:02:47.490525,0:26:53.954236
23,3,7,0:00:00.023999,0:37:55.847516,0:03:41.040245,0:41:36.911760
33,4,7,0:00:00.019001,0:24:39.585904,0:03:31.247548,0:28:10.852453
34,5,8,0:00:00.018000,0:20:45.667727,0:03:33.898004,0:24:19.583731
35,6,8,0:00:00.015997,0:20:54.609988,0:03:58.118120,0:24:52.744105
36,7,9,0:00:00.015001,0:19:23.903761,0:04:04.063373,0:23:27.982135
37,8,9,0:00:00.021003,0:36:24.275508,0:04:37.446812,0:41:01.743323
38,9,9,0:00:00.021000,0:25:28.965296,0:04:47.087827,0:30:16.074123
2,10,9,0:00:00.013999,0:18:33.902848,0:04:27.299729,0:23:01.216576
3,11,10,0:00:00.007000,0:18:06.749322,0:04:27.430732,0:22:34.187054
4,12,11,0:00:00.006999,0:23:09.260134,0:05:28.985955,0:28:38.253088
5,13,11,0:00:00.010999,0:42:57.299774,0:05:42.974588,0:48:40.285361
6,14,11,0:00:00.013000,0:39:25.176208,0:05:46.664840,0:45:11.854048
7,15,12,0:00:00.009000,0:32:26.377704,0:05:42.778599,0:38:09.165303
8,16,12,0:00:00.012002,0:39:01.876310,0:06:25.625569,0:45:27.513881
9,17,12,0:00:00.015000,0:42:19.184683,0:06:37.275922,0:48:56.475605
10,18,12,0:00:00.011001,0:39:30.069390,0:07:15.454224,0:46:45.534615
11,19,12,0:00:00.011001,0:41:46.670480,0:06:43.956700,0:48:30.638181
13,20,12,0:00:00.013000,0:40:13.623009,0:06:46.658315,0:47:00.294324
14,21,12,0:00:00.010000,0:38:20.373027,0:06:55.713091,0:45:16.096118
15,22,12,0:00:00.013003,0:39:06.833757,0:06:50.608901,0:45:57.455661
16,23,12,0:00:00.011000,0:39:09.827363,0:07:01.511028,0:46:11.349391
17,24,12,0:00:00.015000,0:34:32.613375,0:07:09.985963,0:41:42.614338
18,25,12,0:00:00.010999,0:36:16.557207,0:07:24.881832,0:43:41.450038
19,26,12,0:00:00.011004,0:38:06.467047,0:07:20.308637,0:45:26.786688
20,27,12,0:00:00.012001,0:38:41.037413,0:06:59.756724,0:45:40.806138
21,28,12,0:00:00.013001,0:36:05.132156,0:07:15.198424,0:43:20.343581
22,29,12,0:00:00.012000,0:38:53.046916,0:07:17.748994,0:46:10.807910
24,30,12,0:00:00.011001,0:39:32.887793,0:07:11.650392,0:46:44.549186
25,31,12,0:00:00.011000,0:39:05.951464,0:07:12.388422,0:46:18.350886
26,32,12,0:00:00.011000,0:37:03.541461,0:07:02.621178,0:44:06.173639
27,33,12,0:00:00.010996,0:37:52.420218,0:06:55.480268,0:44:47.911482
28,34,12,0:00:00.012002,0:41:00.563562,0:07:06.039279,0:48:06.614843
29,35,12,0:00:00.011000,0:37:15.221189,0:07:07.300087,0:44:22.532276
30,36,12,0:00:00.010002,0:42:44.380486,0:07:07.709818,0:49:52.100306
31,37,12,0:00:00.012999,0:39:54.940416,0:07:03.883031,0:46:58.836446
32,38,12,0:00:00.012999,0:40:17.050569,0:07:08.582404,0:47:25.645972
