,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,1,0.1335442770996502,[0.025]
1,1,3,0.11792821509502416,"[0.05, 0.0050000000000000044, 0.025]"
2,2,4,0.12520674083432773,"[0.05, 0.0050000000000000044, 0.024999999999999994, 0.025]"
3,3,4,0.12520674083432773,"[0.05, 0.0050000000000000044, 0.024999999999999994, 0.025]"
4,4,4,0.12520674083432773,"[0.05, 0.0050000000000000044, 0.024999999999999994, 0.025]"
5,5,5,0.11482125874820684,"[0.05, 0.0050000000000000044, 0.024999999999999994, 0.04, 0.025]"
6,6,5,0.11482125874820684,"[0.05, 0.0050000000000000044, 0.024999999999999994, 0.04, 0.025]"
7,7,5,0.11482125874820684,"[0.05, 0.0050000000000000044, 0.024999999999999994, 0.04, 0.025]"
8,8,5,0.11482125874820684,"[0.05, 0.0050000000000000044, 0.024999999999999994, 0.04, 0.025]"
9,9,6,0.12227935495455726,"[0.05, 0.015000000000000013, 0.0050000000000000044, 0.024999999999999994, 0.04, 0.025]"
