,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,1,0:51:28.813401,0:27:31.400406,0:00:03.517139,1:19:03.730946
1,1,3,0:00:00.008997,0:13:50.875878,0:00:38.377510,0:14:29.262385
2,2,4,0:00:00.015000,0:27:09.017848,0:01:37.823053,0:28:46.855901
3,3,4,0:00:00.012001,0:17:37.336606,0:02:10.847451,0:19:48.196058
4,4,4,0:00:00.010001,0:17:32.518266,0:02:09.680209,0:19:42.208476
5,5,5,0:00:00.014000,0:13:56.544890,0:02:09.530837,0:16:06.089727
6,6,5,0:00:00.018002,0:33:01.636721,0:02:40.582381,0:35:42.237104
7,7,5,0:00:00.010003,0:13:27.883785,0:02:36.873500,0:16:04.767288
8,8,5,0:00:00.010999,0:17:56.212299,0:02:46.385646,0:20:42.608944
9,9,6,0:00:00.010999,0:13:54.876531,0:02:45.396317,0:16:40.283847
