,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,1,0.15256613687121137,[0.030000000000000006]
1,1,2,0.17814772123058803,"[0.03749999999999999, 0.030000000000000006]"
12,2,2,0.185647721230588,"[0.030000000000000006, 0.022499999999999992]"
23,3,2,0.185647721230588,"[0.030000000000000006, 0.022499999999999992]"
34,4,2,0.185647721230588,"[0.030000000000000006, 0.022499999999999992]"
45,5,2,0.185647721230588,"[0.030000000000000006, 0.022499999999999992]"
46,6,3,0.16371302289926418,"[0.022499999999999992, 0.075, 0.0225]"
47,7,4,0.17152547745460384,"[0.03749999999999999, 0.045, 0.015, 0.0225]"
48,8,5,0.1650482782023496,"[0.03749999999999999, 0.015, 0.03, 0.0375, 0.0225]"
49,9,7,0.1525456120631334,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.015, 0.04499999999999999, 0.0225]"
2,10,7,0.1525456120631334,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.015, 0.04499999999999999, 0.0225]"
3,11,7,0.1525456120631334,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.015, 0.04499999999999999, 0.0225]"
4,12,7,0.1525456120631334,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.015, 0.04499999999999999, 0.0225]"
5,13,7,0.14718846920599055,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.015, 0.04499999999999999, 0.015]"
6,14,7,0.14718846920599055,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.015, 0.04499999999999999, 0.015]"
7,15,9,0.14373718950664086,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.015, 0.04499999999999999, 0.015, 0.09, 0.045000000000000005]"
8,16,9,0.15040385617330754,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.015, 0.045000000000000005, 0.052500000000000005, 0.0075]"
9,17,9,0.1529038561733075,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.015, 0.045000000000000005, 0.0075, 0.03]"
10,18,9,0.1529038561733075,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.015, 0.045000000000000005, 0.0075, 0.03]"
11,19,9,0.15623718950664084,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.014999999999999993]"
13,20,10,0.15893837510163977,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.014999999999999993, 0.08999999999999998]"
14,21,10,0.15893837510163977,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.014999999999999993, 0.08999999999999998]"
15,22,10,0.15893837510163977,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.014999999999999993, 0.08999999999999998]"
16,23,11,0.16046895884269935,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.014999999999999993, 0.08999999999999998, 0.12000000000000001]"
17,24,11,0.15705986793360846,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.014999999999999993, 0.12000000000000001, 0.0825]"
18,25,11,0.16592350429724478,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.014999999999999993, 0.052500000000000005, 0.037500000000000006]"
19,26,11,0.16796895884269936,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075]"
20,27,11,0.16796895884269936,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075]"
21,28,11,0.16796895884269936,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075]"
22,29,11,0.16796895884269936,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075]"
24,30,11,0.16796895884269936,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075]"
25,31,11,0.16796895884269936,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075]"
26,32,12,0.15825582581755313,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.045]"
27,33,12,0.15950582581755313,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002]"
28,34,12,0.15950582581755313,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002]"
29,35,12,0.15950582581755313,"[0.03749999999999999, 0.015, 0.03, 0.007499999999999993, 0.04499999999999999, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002]"
30,36,12,0.15763082581755314,"[0.015, 0.03, 0.007499999999999993, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002, 0.007500000000000007, 0.0375]"
31,37,12,0.15763082581755314,"[0.015, 0.03, 0.007499999999999993, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002, 0.007500000000000007, 0.0375]"
32,38,12,0.15763082581755314,"[0.015, 0.03, 0.007499999999999993, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002, 0.007500000000000007, 0.0375]"
33,39,12,0.15763082581755314,"[0.015, 0.03, 0.007499999999999993, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002, 0.007500000000000007, 0.0375]"
35,40,12,0.15763082581755314,"[0.015, 0.03, 0.007499999999999993, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002, 0.007500000000000007, 0.0375]"
36,41,12,0.15763082581755314,"[0.015, 0.03, 0.007499999999999993, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002, 0.007500000000000007, 0.0375]"
37,42,12,0.15763082581755314,"[0.015, 0.03, 0.007499999999999993, 0.045000000000000005, 0.0075, 0.03, 0.037500000000000006, 0.007500000000000007, 0.0075, 0.030000000000000002, 0.007500000000000007, 0.0375]"
