,Generation id,Number of archives,Average fog amount for whole generation,Name of the individual,Fog density of failure version,Fog density of successful version,Average fog density of individual,standard deviation
105,22,10,0.15893837510163977,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
121,23,11,0.16046895884269935,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
115,23,11,0.16046895884269935,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
116,23,11,0.16046895884269935,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
118,23,11,0.16046895884269935,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
119,23,11,0.16046895884269935,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
125,23,11,0.16046895884269935,ind369,0.29577479625329506,0.05577479625329505,0.17577479625329506,0.12000000000000001
124,23,11,0.16046895884269935,ind329,0.2732490454566303,0.09324904545663033,0.18324904545663032,0.08999999999999998
123,23,11,0.16046895884269935,ind327,0.15256613687121134,0.12256613687121136,0.13756613687121136,0.014999999999999993
122,23,11,0.16046895884269935,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
120,23,11,0.16046895884269935,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
117,23,11,0.16046895884269935,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
134,24,11,0.15705986793360846,ind327,0.15256613687121134,0.12256613687121136,0.13756613687121136,0.014999999999999993
136,24,11,0.15705986793360846,ind385,0.22824904545663033,0.06324904545663033,0.14574904545663034,0.0825
126,24,11,0.15705986793360846,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
127,24,11,0.15705986793360846,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
128,24,11,0.15705986793360846,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
129,24,11,0.15705986793360846,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
130,24,11,0.15705986793360846,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
131,24,11,0.15705986793360846,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
132,24,11,0.15705986793360846,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
133,24,11,0.15705986793360846,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
135,24,11,0.15705986793360846,ind369,0.29577479625329506,0.05577479625329505,0.17577479625329506,0.12000000000000001
145,25,11,0.16592350429724478,ind327,0.15256613687121134,0.12256613687121136,0.13756613687121136,0.014999999999999993
144,25,11,0.16592350429724478,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
143,25,11,0.16592350429724478,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
142,25,11,0.16592350429724478,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
141,25,11,0.16592350429724478,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
138,25,11,0.16592350429724478,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
139,25,11,0.16592350429724478,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
137,25,11,0.16592350429724478,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
146,25,11,0.16592350429724478,ind410,0.28077479625329504,0.17577479625329503,0.22827479625329505,0.052500000000000005
140,25,11,0.16592350429724478,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
147,25,11,0.16592350429724478,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
151,26,11,0.16796895884269936,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
152,26,11,0.16796895884269936,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
149,26,11,0.16796895884269936,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
150,26,11,0.16796895884269936,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
148,26,11,0.16796895884269936,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
155,26,11,0.16796895884269936,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
157,26,11,0.16796895884269936,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
153,26,11,0.16796895884269936,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
158,26,11,0.16796895884269936,ind447,0.12256613687121136,0.10756613687121136,0.11506613687121137,0.0075
154,26,11,0.16796895884269936,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
156,26,11,0.16796895884269936,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
166,27,11,0.16796895884269936,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
165,27,11,0.16796895884269936,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
168,27,11,0.16796895884269936,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
163,27,11,0.16796895884269936,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
162,27,11,0.16796895884269936,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
161,27,11,0.16796895884269936,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
160,27,11,0.16796895884269936,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
159,27,11,0.16796895884269936,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
169,27,11,0.16796895884269936,ind447,0.12256613687121136,0.10756613687121136,0.11506613687121137,0.0075
167,27,11,0.16796895884269936,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
164,27,11,0.16796895884269936,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
