timer	damage	pos	dir	vel	gforces	gforces2	steering	steering_input	brake	brake_input	throttle	throttle_input	throttleFactor	engineThrottle	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	0	(2.0239598751068115, 2.480642318725586, -28)	(0.009620939381420612, 0.9999536871910095, 0)	(0, 0, 0)	(0, 0, 0)	(0, 0, 0)	0	None	0	None	0	None	None	None	0	0	False	0	nan	1.9979954041038714
0.20000000298023224	0	(2.0241026878356934, 2.482398748397827, -27.969587326049805)	(0.009730309247970581, 0.999940037727356, -0.005035132635384798)	(-0.00641509098932147, 0.09162046760320663, 0.16052311658859253)	(0.03440900519490242, 0.015019066631793976, -10.201431274414062)	(-0.04410021254861898, 0.07646269975377315, -8.196719309808023)	7.3862360324712215	-0.014482815749943256	0	0	0.9997902480479532	0.9997902480479532	1	0.9997902480479532	0.0696936756535832	1	False	0	nan	1.9981183403520826
0.4345000125467777	0	(2.02551007270813, 2.5988006591796875, -27.861745834350586)	(0.010025335475802422, 0.9999472498893738, -0.002232980215921998)	(0.010657237842679024, 0.8609647154808044, 0.8783040642738342)	(-0.02297031879425049, -2.62668776512146, -13.651397705078125)	(0.10291357154865684, -2.795970958976719, -11.693481938939916)	11.006913073360902	-0.021582182496786118	0	0	0.9979342093986754	0.9979342093986754	0.4592211433420791	0.9979342093986754	2.9096906282396504	4	False	0	nan	1.9982089887628238
0.6640000306069851	0	(2.024247646331787, 2.8274505138397217, -27.741525650024414)	(0.00908709317445755, 0.9999567866325378, -0.00192722596693784)	(-0.05820860341191292, 1.317016363143921, 0.03719989210367203)	(0.45419013500213623, -2.134061813354492, -3.6732702255249023)	(0.37448720760505205, -2.020929161105645, -6.474920649179399)	37.192453667504694	-0.07292637974023819	0	0	0.9690817431379827	0.9690817431379827	0.26418829603953986	0.9690817431379827	3.316225641672678	5	False	0	nan	1.9940171454674929
0.8960000388324261	0	(2.019998073577881, 3.2947628498077393, -27.7592830657959)	(0.004524135030806065, 0.9998728036880493, 0.015295125544071198)	(-0.03259947523474693, 2.741403818130493, -0.042020443826913834)	(0.5338548421859741, -5.394085884094238, -9.6362886428833)	(0.21182723035579692, -4.990959777472104, -8.634647923568672)	22.07379262894379	-0.04328194633126259	0	0	0.9581266731217777	0.9581266731217777	0.8422690192007104	0.9581266731217777	3.4246303585126667	10	False	0	nan	1.9837589647338436
1.1215000487864017	0	(2.0081095695495605, 4.077663898468018, -27.76150131225586)	(-0.0036912881769239902, 0.9998298287391663, 0.018076255917549133)	(-0.07685592025518417, 4.259095191955566, 0.0026591806672513485)	(0.07524191588163376, -4.385885238647461, -11.348474502563477)	(0.2535660589576345, -5.796053467312952, -10.328764949984265)	27.661533392951295	-0.054238300770521164	0	0	0.8370582067295265	0.8370582067295265	1	0.8370582067295265	4.2510144205198825	15	False	0	nan	1.9615819123493825
1.3520000576972961	0	(1.9748927354812622, 5.212565898895264, -27.761930465698242)	(-0.019060906022787094, 0.9996904134750366, 0.01599271409213543)	(-0.20850272476673126, 5.52891731262207, -0.010918132960796356)	(0.28309112787246704, -4.195491313934326, -9.595545768737793)	(0.2566459108817857, -4.858592473623741, -9.58290096711491)	35.72160959243779	-0.07004237174987793	0	0	0.6350940661596519	0.6350940661596519	1	0.6350940661596519	5.535335970499525	20	False	0	nan	1.9121838646780174
1.5870000682771206	0	(1.9071632623672485, 6.67141056060791, -27.762807846069336)	(-0.038243263959884644, 0.9991751909255981, 0.013651051558554173)	(-0.39057087898254395, 6.758847713470459, -0.021341785788536072)	(0.9628136157989502, -5.210721969604492, -10.590765953063965)	(0.587908292357682, -5.158645789723423, -9.718662219253867)	34.668936878442665	-0.06797830760478973	0	0	0.35537894969518846	0.35537894969518846	1	0.35537894969518846	6.708650759563755	24	False	0	nan	1.821712387440046
1.8210000768303871	0	(1.7856428623199463, 8.285022735595703, -27.77010726928711)	(-0.06697998195886612, 0.9977542757987976, -0.0004732405941467732)	(-0.6351383924484253, 6.832625389099121, -0.01857917197048664)	(1.9359118938446045, 0.39652252197265625, -10.006057739257812)	(1.090188905925744, -1.0605499504156224, -9.77699498741719)	57.80322030186637	-0.11333964765071869	0	0	0.06555412427041096	0.06555412427041096	1	0.06555412427041096	6.795213031374099	25	False	0	nan	1.6729674804736687
2.0560000874102116	0	(1.605389952659607, 9.861368179321289, -27.77386474609375)	(-0.10270301252603531, 0.9946528077125549, -0.010854696854948997)	(-0.8613876700401306, 6.505956172943115, -0.013284021057188511)	(1.8313039541244507, 1.860973596572876, -9.945245742797852)	(1.132998368780723, 1.135845634688195, -9.949433422772957)	57.88360118865957	-0.11349725723266602	0	0	0	0	1	0	6.62213847215219	24	False	0	nan	1.4644453073991466
2.290500096976757	0	(1.3896064758300781, 11.375506401062012, -27.771787643432617)	(-0.1312902867794037, 0.9912930727005005, -0.010043126530945301)	(-0.9950160384178162, 6.506797790527344, 0.018854090943932533)	(-0.23265837132930756, -0.8034384250640869, -9.520514488220215)	(0.3417751035155602, 0.055070476185374306, -9.820235370812249)	41.86221309006194	-0.08208277076482773	0	0	0.07166241874356882	0.07166241874356882	1	0.07166241874356882	6.4647952434339	24	False	0	nan	1.2202180320126
2.5235001035034657	0	(1.1199439764022827, 12.849705696105957, -27.776403427124023)	(-0.1680130660533905, 0.9856942892074585, -0.013351639732718468)	(-1.357926368713379, 6.118523120880127, -0.03525959700345993)	(1.796708106994629, 0.5371060371398926, -10.48681640625)	(1.4130328561413943, 1.139638347616255, -9.895250296878277)	107.54774840219541	-0.23745537185599486	0	0	0	0	1	0	6.156459064395719	23	False	0	nan	0.9219073462402636
2.755500115454197	0	(0.7309880256652832, 14.20182991027832, -27.779691696166992)	(-0.2454589605331421, 0.9692741632461548, -0.0160503052175045)	(-2.033066749572754, 5.542925834655762, -0.012309238314628601)	(3.6294589042663574, 1.569088101387024, -9.391016960144043)	(2.9927152050321864, 1.4612921536502448, -9.664647511704464)	201.6758279928864	-0.4282338522701266	0	0	0	0	1	0	6.152830943342274	21	False	0	nan	0.5060790624121669
