timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(2.0239598751068115, 2.480642318725586, -28)	(0.009620939381420612, 0.9999536871910095, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	nan	1.9979954041038714
0.20000000298023224	(2.023926019668579, 2.4825851917266846, -27.969520568847656)	(0.008885406889021397, 0.999945342540741, -0.005503559019416571)	(-0.016160689294338226, 0.1008496955037117, 0.16205932199954987)	-45.81242996230729	0.094418004155159	0	0	0.9910852404913564	0.9910852404913564	0.06505670572748691	1	False	0	nan	1.9979395745875028
0.4430000111460686	(2.0247817039489746, 2.610002040863037, -27.849275588989258)	(0.008624269627034664, 0.9999471306800842, -0.0055938404984772205)	(0.02463599666953087, 0.8512367606163025, 0.9132187366485596)	-42.49933250248444	0.08333202451467514	0	0	0.9914557736902856	0.9914557736902856	2.712049394378104	4	False	0	nan	1.9973472311212526
0.6805000267922878	(2.036115884780884, 2.8440234661102295, -27.740013122558594)	(0.014274136163294315, 0.9998976588249207, -0.0010121605591848493)	(0.08544278889894485, 1.3451564311981201, -0.06459160149097443)	-60.22493295371514	0.11808810383081436	0	0	0.9604551997336429	0.9604551997336429	3.3816317007704737	5	False	0	nan	1.9943287014301545
0.9162500388920307	(2.0566654205322266, 3.3350579738616943, -27.760255813598633)	(0.02076655440032482, 0.9996187090873718, 0.018199320882558823)	(0.143530011177063, 2.846984386444092, -0.0668712928891182)	-41.295237913728144	0.08097105473279953	0	0	0.953443688295458	0.953443688295458	4.207917704859264	10	False	0	nan	1.9800948566602938
1.1510000489652157	(2.0984578132629395, 4.197139739990234, -27.761962890625)	(0.035861268639564514, 0.9991327524185181, 0.021158216521143913)	(0.18353784084320068, 4.442616939544678, 0.045098524540662766)	-36.62361659109566	0.0718110129237175	0	0	0.8348431784228697	0.8348431784228697	5.718119234502203	16	False	0	nan	1.9497828505412214
1.3852500580251217	(2.1650657653808594, 5.411412715911865, -27.760902404785156)	(0.048557642847299576, 0.9986464381217957, 0.018639391288161278)	(0.35551586747169495, 5.983361721038818, -0.012778114527463913)	-19.146707095205603	0.03754256293177605	0	0	0.5889905559685136	0.5889905559685136	6.349175541136386	22	False	0	nan	1.9007261541166653
1.6210000701248646	(2.252512216567993, 6.922381401062012, -27.76432228088379)	(0.05523252487182617, 0.9984167814254761, 0.010651830583810806)	(0.37095582485198975, 6.7826104164123535, -0.0014248248189687729)	-2.1728217322379977	0.00426043476909399	0	0	0.2255818486955783	0.2255818486955783	6.899689508805474	24	False	0	nan	1.8371600482603492
1.857500083744526	(2.344630718231201, 8.537711143493652, -27.768632888793945)	(0.05683932825922966, 0.9983817934989929, -0.00177220709156245)	(0.4286457896232605, 6.821427345275879, -0.0020362003706395626)	-1.4222622569647811	0.002788749523460865	0	0	0.07839222287609537	0.07839222287609537	6.877942154993278	25	False	0	nan	1.7725777495368151
2.094500098377466	(2.4332468509674072, 10.129827499389648, -27.771860122680664)	(0.05597056820988655, 0.9983733892440796, -0.010858375579118729)	(0.3565506339073181, 6.505648612976074, -0.013224163092672825)	4.581367140635799	-0.008983072824776173	0	0	0	0	6.517908961256613	23	False	0	nan	1.7127829269777113
2.331250112503767	(2.513418436050415, 11.703673362731934, -27.7692813873291)	(0.05206301063299179, 0.9986203908920288, -0.0068297539837658405)	(0.3147454261779785, 6.834880828857422, -0.008135577663779259)	8.780772127210946	-0.017217200249433517	0	0	0.15330356801557088	0.15330356801557088	6.9067894172306685	25	False	0	nan	1.6624414689843787
2.566500123590231	(2.5821759700775146, 13.288248062133789, -27.77193260192871)	(0.045415692031383514, 0.9989069104194641, -0.01106659322977066)	(0.26456132531166077, 6.537720680236816, 0.007532105315476656)	11.26089904457316	-0.0220801942050457	0	0	0	0	6.471093230961687	24	False	0	nan	1.6248192598528566
2.801250133663416	(2.638458490371704, 14.821104049682617, -27.77044105529785)	(0.039143215864896774, 0.9991865158081055, -0.009707381017506123)	(0.2265506386756897, 6.585038661956787, -0.010763024911284447)	10.392467044293783	-0.02037738636136055	0	0	0.07798476212507988	0.07798476212507988	6.610605366120438	24	False	0	nan	1.5993230038798119
3.0372501462697983	(2.6894655227661133, 16.38051414489746, -27.769865036010742)	(0.03450167551636696, 0.9993714094161987, -0.008140874095261097)	(0.20280766487121582, 6.606199741363525, 0.014266103506088257)	4.73488080315308	-0.009284080006182194	0	0	0.07831380585843883	0.07831380585843883	6.70531128729228	24	False	0	nan	1.579975690985484
3.275000162422657	(2.7326831817626953, 17.957412719726562, -27.76983642578125)	(0.029059628024697304, 0.9995467066764832, -0.00787715706974268)	(0.14607776701450348, 6.653267860412598, 0.006603979039937258)	10.650017224223491	-0.020882386714220047	0	0	0.0779639259251178	0.0779639259251178	6.728003361448861	24	False	0	nan	1.5688170477977583
3.5107501745224	(2.7695555686950684, 19.53264045715332, -27.769250869750977)	(0.024890899658203125, 0.99965900182724, -0.007881523109972477)	(0.15643712878227234, 6.697226524353027, -0.011555140838027)	3.453619005158527	-0.006771801970899105	0	0	0.07835414269806695	0.07835414269806695	6.762760388797471	24	False	0	nan	1.563710813959224
3.7485001906752586	(2.796069622039795, 21.13350486755371, -27.76985740661621)	(0.018173038959503174, 0.9998020529747009, -0.008099494501948357)	(0.07924943417310715, 6.756298542022705, 0.019864220172166824)	17.471335194984782	-0.034257519990205765	0	0	0.07722642232412069	0.07722642232412069	6.703797388694603	24	False	0	nan	1.5688431714744575
