timer	damage	pos	dir	vel	gforces	gforces2	steering	steering_input	brake	brake_input	throttle	throttle_input	throttleFactor	engineThrottle	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	0	(2.0239598751068115, 2.480642318725586, -28)	(0.009620939381420612, 0.9999536871910095, 0)	(0, 0, 0)	(0, 0, 0)	(0, 0, 0)	0	None	0	None	0	None	None	None	0	0	False	0	nan	1.9979954041038714
0.20000000298023224	0	(2.023899793624878, 2.4826393127441406, -27.969701766967773)	(0.008777622133493423, 0.9999476075172424, -0.005261812824755907)	(-0.018382448703050613, 0.10242047905921936, 0.1590443104505539)	(0.10102296620607376, -0.022493645548820496, -10.171438217163086)	(0.028666354060158578, 0.040634222034298714, -8.169903212931455)	-48.455476658658476	0.10779806226491928	0	0	0.9883795777719286	0.9883795777719286	1	0.9883795777719286	0.06784171533349169	1	False	0	nan	1.9979127380474015
0.43950001522898674	0	(2.024524688720703, 2.607034921646118, -27.85443878173828)	(0.008710210211575031, 0.9999523162841797, -0.004410431254655123)	(0.03599968180060387, 0.8758198618888855, 0.9073486328125)	(0.15235067903995514, -2.425966262817383, -13.395262718200684)	(0.020138392788475318, -2.6979758396337736, -11.667635138902678)	-49.19822104278975	0.09646710008382797	0	0	0.9890940986014167	0.9890940986014167	0.695304464964215	0.9890940986014167	2.6968333392130917	5	False	0	nan	1.9971283899941517
0.6720000207424164	0	(2.035168409347534, 2.8380918502807617, -27.73836898803711)	(0.016569428145885468, 0.99985671043396, -0.0034563823137432337)	(0.05111559480428696, 1.3399558067321777, -0.03208204358816147)	(-1.8725141286849976, -2.3828749656677246, -5.957491874694824)	(-0.7444277211299519, -2.0694239267760293, -6.758750716556036)	-59.69765044748819	0.11705421656370163	0	0	0.9462983103846581	0.9462983103846581	0.36051655888882284	0.9462983103846581	3.3900347605187946	5	False	0	nan	1.995199826549173
0.9045000299811363	0	(2.056622266769409, 3.3180739879608154, -27.758527755737305)	(0.024317732080817223, 0.9995459318161011, 0.017796028405427933)	(0.15368112921714783, 2.803983449935913, -0.07695934176445007)	(-1.29592764377594, -5.741401672363281, -8.468814849853516)	(-0.5701979638065802, -5.6023614545105795, -8.253834323971684)	-43.57282809913193	0.08543691784143448	0	0	0.952700533069756	0.952700533069756	0.6740337835483228	0.952700533069756	4.14933245197146	10	False	0	nan	1.9799196174135383
1.1385000385344028	0	(2.1057684421539307, 4.188462734222412, -27.761043548583984)	(0.03949267417192459, 0.9989888072013855, 0.021489152684807777)	(0.3029697835445404, 4.449200630187988, 0.014848979189991951)	(-0.3888872563838959, -5.7897186279296875, -8.279508590698242)	(-0.29317147721007414, -6.739649498967005, -9.147665856247102)	-39.971392750740044	0.07837527990341187	0	0	0.8338573155000618	0.8338573155000618	0.8843462146215486	0.8338573155000618	5.224223302427598	16	False	0	nan	1.9423492241706704
1.3720000460743904	0	(2.1809346675872803, 5.398918628692627, -27.760635375976562)	(0.05291010066866875, 0.9984377026557922, 0.017961783334612846)	(0.39837726950645447, 5.9813456535339355, -0.010635379701852798)	(-0.9458100199699402, -5.599131107330322, -8.828508377075195)	(-0.6783707068430189, -4.81074102798264, -9.42821344285909)	-22.636869214474775	0.04438601806759834	0	0	0.5884298814001028	0.5884298814001028	1	0.5884298814001028	6.31351598723717	22	False	0	nan	1.884665280521294
1.60450005158782	0	(2.277805805206299, 6.8901686668396, -27.763830184936523)	(0.06127040833234787, 0.9980687499046326, 0.010222620330750942)	(0.43763813376426697, 6.77683162689209, -0.012063139118254185)	(-0.7315563559532166, -2.8249013423919678, -9.97392463684082)	(-0.20161504418785559, -3.8116525192126236, -9.554421511908426)	-5.940137179568501	0.011647327803075314	0	0	0.22546433975504776	0.22546433975504776	1	0.22546433975504776	7.049127784391466	24	False	0	nan	1.811334261236672
1.8330000638961792	0	(2.3832948207855225, 8.444551467895508, -27.7683048248291)	(0.06651920080184937, 0.9977839589118958, -0.0015417577233165503)	(0.4729943871498108, 6.811117172241211, -0.01868736930191517)	(-1.1492063999176025, 0.248213529586792, -9.667935371398926)	(-0.3690053968558286, -0.8471256835000726, -9.770723118522135)	-9.39703445881643	0.018425557762384415	0	0	0.07806049882114507	0.07806049882114507	1	0.07806049882114507	6.89103716855756	25	False	0	nan	1.7322803117735641
2.0630000792443752	0	(2.49196720123291, 9.994956016540527, -27.771942138671875)	(0.06933905929327011, 0.9975364804267883, -0.010626547038555145)	(0.4535074532032013, 6.505001544952393, -0.006227700039744377)	(-0.12815026938915253, 2.0734000205993652, -9.789177894592285)	(0.13630332689195496, 1.2022596484302233, -9.85712900569108)	0.16305922530101308	-0.0003197239711880684	0	0	0	0	1	0	6.554651662429838	23	False	0	nan	1.651588369025225
