,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,1,0.13126631292743157,[0.009999999999999995]
1,1,2,0.09114578669986292,"[0.034999999999999996, 0.009999999999999995]"
12,2,2,0.09864578669986292,"[0.010000000000000002, 0.009999999999999995]"
23,3,2,0.09864578669986292,"[0.010000000000000002, 0.009999999999999995]"
34,4,3,0.10967980842079074,"[0.010000000000000002, 0.009999999999999995, 0.030000000000000006]"
40,5,3,0.10967980842079074,"[0.010000000000000002, 0.009999999999999995, 0.030000000000000006]"
41,6,4,0.1174136793218313,"[0.010000000000000002, 0.009999999999999995, 0.030000000000000006, 0.06999999999999999]"
42,7,4,0.1174136793218313,"[0.010000000000000002, 0.009999999999999995, 0.030000000000000006, 0.06999999999999999]"
43,8,4,0.1174136793218313,"[0.010000000000000002, 0.009999999999999995, 0.030000000000000006, 0.06999999999999999]"
44,9,4,0.1174136793218313,"[0.010000000000000002, 0.009999999999999995, 0.030000000000000006, 0.06999999999999999]"
2,10,5,0.1342304653775887,"[0.04999999999999999, 0.0050000000000000044, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
3,11,5,0.1342304653775887,"[0.04999999999999999, 0.0050000000000000044, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
4,12,5,0.1342304653775887,"[0.04999999999999999, 0.0050000000000000044, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
5,13,5,0.1342304653775887,"[0.04999999999999999, 0.0050000000000000044, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
6,14,5,0.1342304653775887,"[0.04999999999999999, 0.0050000000000000044, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
7,15,5,0.1342304653775887,"[0.04999999999999999, 0.0050000000000000044, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
8,16,5,0.1342304653775887,"[0.04999999999999999, 0.0050000000000000044, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
9,17,6,0.12859882329686514,"[0.04999999999999999, 0.0050000000000000044, 0.07500000000000001, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
10,18,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
11,19,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
13,20,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
14,21,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
15,22,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
16,23,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
17,24,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
18,25,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
19,26,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
20,27,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
21,28,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
22,29,6,0.1302654899635318,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.030000000000000006, 0.06999999999999999]"
24,30,7,0.12001490622827952,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.034999999999999996, 0.030000000000000006, 0.06999999999999999]"
25,31,7,0.12001490622827952,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.034999999999999996, 0.030000000000000006, 0.06999999999999999]"
26,32,8,0.12987692007707774,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.025, 0.06999999999999999, 0.030000000000000006, 0.06999999999999999]"
27,33,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
28,34,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
29,35,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
30,36,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
31,37,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
32,38,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
33,39,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
35,40,8,0.13550192007707773,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.030000000000000006, 0.06999999999999999]"
36,41,9,0.13351295326790646,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.09499999999999999, 0.030000000000000006, 0.06999999999999999]"
37,42,9,0.13240184215679537,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.085, 0.030000000000000006, 0.06999999999999999]"
38,43,9,0.13240184215679537,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.085, 0.030000000000000006, 0.06999999999999999]"
39,44,9,0.13240184215679537,"[0.04999999999999999, 0.05500000000000001, 0.0049999999999999975, 0.010000000000000002, 0.044999999999999984, 0.0049999999999999975, 0.085, 0.030000000000000006, 0.06999999999999999]"
