timer	damage	pos	dir	vel	gforces	gforces2	steering	steering_input	brake	brake_input	throttle	throttle_input	throttleFactor	engineThrottle	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	0	(2.0239598751068115, 2.480642318725586, -28)	(0.009620939381420612, 0.9999536871910095, 0)	(0, 0, 0)	(0, 0, 0)	(0, 0, 0)	0	None	0	None	0	None	None	None	0	0	False	0	nan	1.9979954041038714
0.20000000298023224	0	(2.0241968631744385, 2.4824442863464355, -27.969501495361328)	(0.00948290154337883, 0.9999421834945679, -0.005069597624242306)	(0.0011884821578860283, 0.09084536135196686, 0.1626378297805786)	(0.05104256793856621, -0.019361866638064384, -10.218324661254883)	(0.007472376706526368, 0.041574536590947876, -8.19413490021462)	-14.741519875824729	0.02890494093298912	0	0	0.9991645043896604	0.9991645043896604	1	0.9991645043896604	0.06513893757747155	1	False	0	nan	1.998211994576788
0.441000010818243	0	(2.025489091873169, 2.6087114810943604, -27.851749420166016)	(0.009736407548189163, 0.9999489188194275, -0.0027216842863708735)	(0.0194139014929533, 0.9110777378082275, 0.9133080244064331)	(-0.0798707902431488, -2.4617414474487305, -13.55002498626709)	(-0.013242777858637797, -2.727579810182625, -11.835221508718783)	-8.640780039132022	0.01694270595908165	0	0	0.9981129447147841	0.9981129447147841	0.4488198602040372	0.9981129447147841	2.8259588789443044	5	False	0	nan	1.9980711552905175
0.6760000213980675	0	(2.0255162715911865, 2.852163553237915, -27.741796493530273)	(0.01066012866795063, 0.9999430775642395, 0.0003476437705103308)	(-0.03784563019871712, 1.468489646911621, -0.022328995168209076)	(-0.09666267037391663, -2.8018393516540527, -2.881680488586426)	(0.2958338791173642, -2.3973802691461574, -5.36824038601851)	24.30768895894274	-0.04766213521361351	0	0	0.9577283208668792	0.9577283208668792	0.16460883983959607	0.9577283208668792	3.4888737657591964	5	False	0	nan	1.9949678919766038
0.910500030964613	0	(2.0297939777374268, 3.3616178035736084, -27.757169723510742)	(0.010402977466583252, 0.9998352527618408, 0.014878678135573864)	(0.015076536685228348, 2.8965232372283936, 0.00958969909697771)	(-0.21216866374015808, -5.8749098777771, -9.960704803466797)	(-0.20181153896040122, -5.807208778689174, -9.289079253561178)	-1.1716837529096251	0.002297419123351574	0	0	0.9599947218653716	0.9599947218653716	0.8784571713173513	0.9599947218653716	3.337783322936895	10	False	0	nan	1.9926944012162306
1.1455000415444374	0	(2.0408618450164795, 4.231089115142822, -27.75958251953125)	(0.011574828997254372, 0.9997778534889221, 0.017614003270864487)	(0.06607098877429962, 4.41347599029541, -0.005075767170637846)	(0.2150111049413681, -7.657412528991699, -9.251866340637207)	(0.08310129093992878, -6.665741758554493, -9.958733663940066)	-2.41764449514484	0.004740479402244091	0	0	0.8399775278550369	0.8399775278550369	1	0.8399775278550369	4.551014691111768	16	False	0	nan	1.99214289347417
1.378000047057867	0	(2.0522515773773193, 5.416628360748291, -27.761028289794922)	(0.009860966354608536, 0.9998275637626648, 0.015733344480395317)	(0.051749538630247116, 5.735312461853027, -0.00201009982265532)	(0.1524031162261963, -4.490007400512695, -9.912151336669922)	(0.052889734924155204, -4.936602412345664, -10.099019119884616)	5.289500942453871	-0.010371570475399494	0	0	0.5902924305258739	0.5902924305258739	1	0.5902924305258739	5.873133678243272	21	False	0	nan	1.9863923059185848
1.6115000545978546	0	(2.074469566345215, 6.897583961486816, -27.761720657348633)	(0.014377455227077007, 0.9998253583908081, 0.01193471159785986)	(0.1466732919216156, 6.783398628234863, -0.019413268193602562)	(-0.15426340699195862, -5.004900932312012, -10.044733047485352)	(-0.3562855413235583, -4.604505559149496, -9.822429562900904)	-15.118056870997133	0.02964324876666069	0	0	0.293521277802558	0.293521277802558	1	0.293521277802558	6.724460822841224	24	False	0	nan	1.985234302717498
1.8460000641644	0	(2.12367844581604, 8.5186128616333, -27.767053604125977)	(0.027556097134947777, 0.9996199607849121, -0.0007199944229796529)	(0.25537827610969543, 6.877373218536377, -0.03209296986460686)	(-1.0280134677886963, 0.3072684407234192, -9.796564102172852)	(-0.6709350622953176, -0.9943216787957387, -9.783297503380982)	-22.30902660638131	0.04374318942427635	0	0	0.07648653337899192	0.07648653337899192	1	0.07648653337899192	6.927090239522359	25	False	0	nan	1.9931597396230105
2.0815000757575035	0	(2.1837284564971924, 10.11058235168457, -27.771718978881836)	(0.035286758095026016, 0.999322235584259, -0.010485073551535606)	(0.24331139028072357, 6.592869281768799, -0.00038482295349240303)	(0.16013458371162415, 2.5503334999084473, -9.8820161819458)	(-0.14957272201887128, 1.3245539121014924, -9.80987137323527)	-4.677535230294059	0.009171637706458569	0	0	0	0	1	0	6.579267653722715	24	False	0	nan	1.9619045208263268
2.317000087350607	0	(2.2491443157196045, 11.6572904586792, -27.769838333129883)	(0.04100970923900604, 0.9991118311882019, -0.009689382277429104)	(0.29687944054603577, 6.6263909339904785, 0.008097143843770027)	(0.10207602381706238, -0.8907616138458252, -10.136590003967285)	(-0.07195910925710954, -0.009229939102167961, -9.916984704390655)	-11.976674236357006	0.023483674973249435	0	0	0.07784851700975082	0.07784851700975082	1	0.07784851700975082	6.634526691328418	24	False	0	nan	1.9257816923818634
2.549500096589327	0	(2.331951141357422, 13.19083023071289, -27.769166946411133)	(0.051079798489809036, 0.9986575841903687, -0.00860145129263401)	(0.37780630588531494, 6.631819248199463, 0.010151738300919533)	(-1.6991496086120605, -0.16480445861816406, -9.333616256713867)	(-0.751410655498912, -0.11986683142671885, -9.700162193129565)	-20.358811654150173	0.03991923853754997	0	0	0.07680645439458222	0.07680645439458222	1	0.07680645439458222	6.65625227524861	24	False	0	nan	1.8730442364006317
2.7840001061558723	0	(2.4532971382141113, 14.7388277053833, -27.76803207397461)	(0.07209254056215286, 0.9973537921905518, -0.009391171857714653)	(0.638133704662323, 6.531965732574463, 0.012369154021143913)	(-2.6675896644592285, 0.5791768431663513, -10.184081077575684)	(-1.350186577721125, 0.23207454061636232, -9.898779005309521)	-62.512872131820444	0.1276373416185379	0	0	0.06210870902455268	0.06210870902455268	1	0.06210870902455268	6.605534071215448	24	False	0	nan	1.782779792337852
3.018500115722418	0	(2.650203227996826, 16.25575828552246, -27.767885208129883)	(0.11498855799436569, 0.9933175444602966, -0.00989206787198782)	(1.0113816261291504, 6.406039714813232, -0.0038138614036142826)	(-1.47050940990448, 0.420547217130661, -9.830207824707031)	(-1.4335916080600875, 0.3693924053104769, -9.846160666922529)	-81.93715408444423	0.16066108644008636	0	0	0.05258801530389112	0.05258801530389112	1	0.05258801530389112	6.521198022354942	23	False	0	nan	1.6166907619961841
3.2535001263022423	0	(2.932533025741577, 17.76978302001953, -27.766332626342773)	(0.16639946401119232, 0.9860332608222961, -0.007037052884697914)	(1.3964887857437134, 6.533149719238281, 0.01902148127555847)	(-1.2738100290298462, -0.671478807926178, -9.277748107910156)	(-1.5499164508837135, -0.7685191606802344, -9.508978092005513)	-88.78745689988168	0.17409305274486542	0	0	0.12329160898597347	0.12329160898597347	1	0.12329160898597347	6.74805368217363	24	False	0	nan	1.36519874646637
3.4880001358687878	0	(3.3045332431793213, 19.280458450317383, -27.76774787902832)	(0.22161856293678284, 0.9750886559486389, -0.009341021068394184)	(1.7390636205673218, 6.286324501037598, -0.005508997477591038)	(-2.5998127460479736, 1.2275501489639282, -9.916668891906738)	(-1.8063805363384469, 0.3877964868942006, -9.8791304197328)	-93.04321333766008	0.18243767321109772	0	0	0.045116495393320744	0.045116495393320744	1	0.045116495393320744	6.729364740540335	23	False	0	nan	1.0237697683862015
3.7220001444220543	0	(3.747725009918213, 20.784536361694336, -27.767118453979492)	(0.2673984169960022, 0.9635643362998962, -0.006463691126555204)	(2.020472526550293, 6.541617393493652, 0.011469252407550812)	(-2.0009007453918457, -1.2871038913726807, -10.733892440795898)	(-1.307285502988405, -1.1237355040160382, -10.11477657378078)	-61.861592531204	0.12129724025726318	0	0	0.13888697950597173	0.13888697950597173	1	0.13888697950597173	7.054600753695773	25	False	0	nan	0.6105372835767491
3.955500151962042	0	(4.257471084594727, 22.27532196044922, -27.768766403198242)	(0.3112497627735138, 0.950258731842041, -0.011491133831441402)	(2.3282806873321533, 6.093421459197998, -0.003535287221893668)	(-1.3136787414550781, 0.9739090204238892, -9.134723663330078)	(-1.5173164524104317, 1.0879765416829257, -9.699806690753427)	-87.5347553193568	0.17163677513599396	0	0	0	0	1	0	6.719091727566084	23	False	0	nan	0.12973794913525216
4.187500163912773	0	(4.797609806060791, 23.730436325073242, -27.771020889282227)	(0.33775854110717773, 0.9412064552307129, -0.007037158124148846)	(2.2764220237731934, 6.52344274520874, 0.006097268313169479)	(0.9026772975921631, -2.570619583129883, -8.8448486328125)	(0.16722683962896912, -1.5991808051019643, -9.462069662578637)	20.5605496062131	-0.047573551535606384	0	0	0.15133675719428896	0.15133675719428896	1	0.15133675719428896	7.010910583021836	25	True	1	nan	-0.3832441765038772
