,Generation id,Number of archives,Average fog amount for whole generation,Name of the individual,Fog density of failure version,Fog density of successful version,Average fog density of individual,standard deviation
0,0,2,0.13586771913306367,ind10,0.14458643637240515,0.11458643637240515,0.12958643637240513,0.015
1,0,2,0.13586771913306367,ind2,0.15214900189372219,0.1321490018937222,0.1421490018937222,0.009999999999999995
2,1,4,0.13673401557974352,ind10,0.14458643637240515,0.11458643637240515,0.12958643637240513,0.015
3,1,4,0.13673401557974352,ind18,0.16633845330858876,0.13633845330858876,0.15133845330858875,0.015
4,1,4,0.13673401557974352,ind2,0.15214900189372219,0.1321490018937222,0.1421490018937222,0.009999999999999995
5,1,4,0.13673401557974352,ind21,0.13386217074425802,0.11386217074425803,0.12386217074425802,0.009999999999999995
6,2,5,0.15046684200328436,ind10,0.14458643637240515,0.11458643637240515,0.12958643637240513,0.015
7,2,5,0.15046684200328436,ind18,0.16633845330858876,0.13633845330858876,0.15133845330858875,0.015
8,2,5,0.15046684200328436,ind2,0.15214900189372219,0.1321490018937222,0.1421490018937222,0.009999999999999995
9,2,5,0.15046684200328436,ind21,0.13386217074425802,0.11386217074425803,0.12386217074425802,0.009999999999999995
10,2,5,0.15046684200328436,ind43,0.21539814769744783,0.19539814769744784,0.20539814769744785,0.009999999999999995
15,3,5,0.15046684200328436,ind43,0.21539814769744783,0.19539814769744784,0.20539814769744785,0.009999999999999995
14,3,5,0.15046684200328436,ind21,0.13386217074425802,0.11386217074425803,0.12386217074425802,0.009999999999999995
11,3,5,0.15046684200328436,ind10,0.14458643637240515,0.11458643637240515,0.12958643637240513,0.015
12,3,5,0.15046684200328436,ind18,0.16633845330858876,0.13633845330858876,0.15133845330858875,0.015
13,3,5,0.15046684200328436,ind2,0.15214900189372219,0.1321490018937222,0.1421490018937222,0.009999999999999995
16,4,6,0.15490346884916154,ind10,0.14458643637240515,0.11458643637240515,0.12958643637240513,0.015
17,4,6,0.15490346884916154,ind18,0.16633845330858876,0.13633845330858876,0.15133845330858875,0.015
18,4,6,0.15490346884916154,ind2,0.15214900189372219,0.1321490018937222,0.1421490018937222,0.009999999999999995
19,4,6,0.15490346884916154,ind21,0.13386217074425802,0.11386217074425803,0.12386217074425802,0.009999999999999995
20,4,6,0.15490346884916154,ind43,0.21539814769744783,0.19539814769744784,0.20539814769744785,0.009999999999999995
21,4,6,0.15490346884916154,ind67,0.18708660307854727,0.16708660307854728,0.1770866030785473,0.009999999999999995
