,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,2,0:49:54.695445,0:28:23.275318,0:00:04.119038,1:18:22.089801
1,1,4,0:00:00.013000,0:18:08.267970,0:01:07.123404,0:19:15.404374
2,2,5,0:00:00.010000,0:26:23.841064,0:02:08.610772,0:28:32.461836
3,3,5,0:00:00.014000,0:26:35.827703,0:02:41.134177,0:29:16.975880
4,4,6,0:00:00.011000,0:18:49.810355,0:02:36.293701,0:21:26.115056
5,5,6,0:00:00.013000,0:24:07.522981,0:02:59.908830,0:27:07.444811
6,6,6,0:00:00.011000,0:22:44.133716,0:02:59.115598,0:25:43.260314
7,7,6,0:00:00.010000,0:22:23.871828,0:03:15.034018,0:25:38.915846
8,8,6,0:00:00.011000,0:18:24.193128,0:02:57.024026,0:21:21.228154
9,9,6,0:00:00.009999,0:18:25.519363,0:02:59.636145,0:21:25.165507
