,generation number,average fog amount for whole generation,name of the individual,fog density of failure version ,fog density of successful version,average fog density of individual
0,0,0.20724133951220275,ind11,0.38557562740516294,0.13557562740516294,0.26057562740516294
1,0,0.20724133951220275,ind36,0.3187179051879645,0.21871790518796452,0.2687179051879645
2,0,0.20724133951220275,ind40,0.13722246947020802,0.03722246947020802,0.08722246947020802
3,0,0.20724133951220275,ind17,0.24520403983259864,0.09520403983259862,0.17020403983259863
4,0,0.20724133951220275,ind6,0.41834016019970865,0.16834016019970865,0.29334016019970865
5,0,0.20724133951220275,ind39,0.257204365767359,0.05720436576735899,0.157204365767359
6,0,0.20724133951220275,ind8,0.22181295168796003,0.12181295168796002,0.17181295168796
7,0,0.20724133951220275,ind19,0.19251096709937388,0.04251096709937385,0.11751096709937386
8,0,0.20724133951220275,ind3,0.10914449078771793,0.05914449078771793,0.08414449078771793
9,0,0.20724133951220275,ind29,0.6116804176839741,0.31168041768397403,0.46168041768397405
10,1,0.23225405003767802,ind84,0.41844295801065146,0.26844295801065143,0.34344295801065144
11,1,0.23225405003767802,ind71,0.2687179051879645,0.21871790518796452,0.24371790518796452
12,1,0.23225405003767802,ind70,0.49520403983259864,0.09520403983259862,0.29520403983259863
13,1,0.23225405003767802,ind46,0.38557562740516294,0.08557562740516293,0.23557562740516294
14,1,0.23225405003767802,ind11,0.38557562740516294,0.13557562740516294,0.26057562740516294
15,1,0.23225405003767802,ind36,0.3187179051879645,0.21871790518796452,0.2687179051879645
16,1,0.23225405003767802,ind40,0.13722246947020802,0.03722246947020802,0.08722246947020802
17,1,0.23225405003767802,ind17,0.24520403983259864,0.09520403983259862,0.17020403983259863
18,1,0.23225405003767802,ind6,0.41834016019970865,0.16834016019970865,0.29334016019970865
19,1,0.23225405003767802,ind63,0.23641089693729989,0.13641089693729985,0.18641089693729987
20,1,0.23225405003767802,ind75,0.287222469470208,0.03722246947020802,0.16222246947020802
21,1,0.23225405003767802,ind55,0.4425109670993739,0.04251096709937385,0.24251096709937386
22,1,0.23225405003767802,ind39,0.257204365767359,0.05720436576735899,0.157204365767359
23,1,0.23225405003767802,ind74,0.31553047066605666,0.11553047066605668,0.21553047066605668
24,1,0.23225405003767802,ind8,0.22181295168796003,0.12181295168796002,0.17181295168796
25,1,0.23225405003767802,ind19,0.19251096709937388,0.04251096709937385,0.11751096709937386
26,1,0.23225405003767802,ind3,0.10914449078771793,0.05914449078771793,0.08414449078771793
27,1,0.23225405003767802,ind49,0.22181295168796003,0.17181295168796,0.19681295168796004
28,1,0.23225405003767802,ind65,0.7616804176839741,0.31168041768397403,0.5366804176839741
29,1,0.23225405003767802,ind64,0.22181295168796003,0.07181295168796002,0.14681295168796002
30,1,0.23225405003767802,ind29,0.6116804176839741,0.31168041768397403,0.46168041768397405
