,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,1,0.18675134950795408,[0.020000000000000004]
1,1,1,0.18675134950795408,[0.020000000000000004]
2,2,2,0.11298833824200158,"[0.02, 0.020000000000000004]"
3,3,3,0.14192432966560478,"[0.015, 0.024999999999999994, 0.020000000000000004]"
4,4,3,0.14525766299893814,"[0.015, 0.01999999999999999, 0.015]"
5,5,5,0.1571044851898344,"[0.015, 0.01999999999999999, 0.015, 0.05, 0.024999999999999994]"
6,6,6,0.15699255223828373,"[0.015, 0.01999999999999999, 0.015, 0.024999999999999994, 0.06999999999999999, 0.024999999999999994]"
7,7,6,0.15699255223828373,"[0.015, 0.01999999999999999, 0.015, 0.024999999999999994, 0.06999999999999999, 0.024999999999999994]"
8,8,8,0.15633311985649484,"[0.024999999999999994, 0.03, 0.015, 0.01999999999999999, 0.015, 0.024999999999999994, 0.06999999999999999, 0.024999999999999994]"
9,9,8,0.1631065161926072,"[0.009999999999999995, 0.015, 0.015, 0.01999999999999999, 0.015, 0.024999999999999994, 0.06999999999999999, 0.024999999999999994]"
