,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,1,0:39:57.960372,0:09:12.326158,0:00:01.057075,0:49:11.343605
1,1,1,0:00:00.011000,0:05:51.790234,0:00:11.744398,0:06:03.545632
12,2,1,0:00:00.017000,0:07:47.743394,0:00:11.883331,0:07:59.643725
23,3,2,0:00:00.016999,0:07:40.635408,0:00:12.308054,0:07:52.960461
34,4,6,0:00:00.020999,0:12:01.785117,0:00:28.697383,0:12:30.503499
45,5,6,0:00:00.005000,0:13:55.495933,0:01:06.363677,0:15:01.864610
46,6,7,0:00:00.003001,0:08:50.925430,0:01:00.728392,0:09:51.656823
47,7,7,0:00:00.004000,0:12:06.413815,0:01:06.976657,0:13:13.394472
48,8,7,0:00:00.001999,0:08:06.771532,0:01:06.493818,0:09:13.267349
49,9,7,0:00:00.003000,0:09:43.599194,0:01:08.763336,0:10:52.365530
2,10,7,0:00:00.003000,0:08:36.522270,0:01:09.825747,0:09:46.351017
3,11,8,0:00:00.002000,0:06:04.525131,0:01:11.031870,0:07:15.559001
4,12,8,0:00:00.003002,0:09:33.225715,0:01:14.661425,0:10:47.890142
5,13,9,0:00:00.002001,0:06:29.366361,0:01:26.221904,0:07:55.590266
6,14,9,0:00:00.002999,0:07:32.264531,0:01:33.691540,0:09:05.959070
7,15,9,0:00:00.002998,0:08:39.352633,0:01:32.884941,0:10:12.240572
8,16,9,0:00:00.002995,0:11:23.889563,0:01:29.102541,0:12:52.995099
9,17,9,0:00:00.002000,0:07:21.837317,0:01:23.009505,0:08:44.848822
10,18,10,0:00:00.003001,0:06:31.834626,0:01:29.437807,0:08:01.275434
11,19,10,0:00:00.002999,0:11:27.463780,0:01:49.170418,0:13:16.637197
13,20,11,0:00:00.006000,0:10:49.880532,0:01:38.904073,0:12:28.790605
14,21,11,0:00:00.003000,0:14:01.090030,0:01:53.189372,0:15:54.282402
15,22,11,0:00:00.003000,0:11:14.615729,0:01:58.157072,0:13:12.775801
16,23,11,0:00:00.002999,0:09:37.970543,0:01:42.297355,0:11:20.270897
17,24,11,0:00:00.001999,0:07:19.099822,0:01:42.296037,0:09:01.397858
18,25,11,0:00:00.002000,0:07:07.785041,0:01:43.196765,0:08:50.983806
19,26,11,0:00:00.002000,0:09:36.251889,0:01:41.567825,0:11:17.821714
20,27,11,0:00:00.002999,0:09:52.018775,0:01:47.735155,0:11:39.756929
21,28,11,0:00:00.002999,0:08:51.525001,0:01:48.099515,0:10:39.627515
22,29,11,0:00:00.002983,0:09:00.406836,0:01:41.175962,0:10:41.585781
24,30,11,0:00:00.002999,0:09:08.715895,0:01:48.251159,0:10:56.970053
25,31,11,0:00:00.003000,0:08:30.035453,0:01:54.184063,0:10:24.223517
26,32,11,0:00:00.001998,0:07:08.851762,0:01:37.142802,0:08:45.996562
27,33,11,0:00:00.002000,0:06:53.183335,0:01:35.831802,0:08:29.017137
28,34,11,0:00:00.002001,0:06:15.844725,0:01:35.940283,0:07:51.787009
29,35,11,0:00:00.002000,0:06:08.226474,0:01:42.364764,0:07:50.593238
30,36,11,0:00:00.003001,0:08:37.626675,0:01:47.578056,0:10:25.207732
31,37,11,0:00:00.002999,0:09:44.649719,0:01:43.736269,0:11:28.388987
32,38,11,0:00:00.002999,0:08:57.959499,0:01:42.783185,0:10:40.745683
33,39,11,0:00:00.002000,0:06:20.916725,0:01:42.738626,0:08:03.657351
35,40,11,0:00:00.002999,0:05:35.111307,0:01:43.149398,0:07:18.263704
36,41,11,0:00:00.003000,0:04:48.185916,0:01:54.326046,0:06:42.514962
37,42,11,0:00:00.002000,0:06:18.425172,0:01:47.960727,0:08:06.387899
38,43,11,0:00:00.003000,0:06:26.645209,0:01:47.992529,0:08:14.640738
39,44,11,0:00:00.002003,0:05:20.412374,0:01:54.025254,0:07:14.439631
40,45,11,0:00:00.001999,0:07:29.199039,0:01:47.358488,0:09:16.559526
41,46,11,0:00:00.001999,0:06:27.882566,0:01:47.165657,0:08:15.050222
42,47,11,0:00:00.002000,0:06:24.423421,0:01:47.972921,0:08:12.398342
43,48,11,0:00:00.001998,0:07:20.594165,0:01:41.780210,0:09:02.376373
44,49,11,0:00:00.001999,0:07:17.416613,0:01:42.355874,0:08:59.774486
