timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(2.023759603500366, 2.4808058738708496, -28)	(0.009540221653878689, 0.9999544620513916, 0)	(0, 0, 0)	None	None	None	None	None	None	None	0	False	0	nan	1.9981851205038297
0.04000000283122063	(2.02363920211792, 2.4809374809265137, -27.996496200561523)	(0.009446511045098305, 0.9999553561210632, -0.00035839853808283806)	(0.0011485576396808028, -0.018355414271354675, 0.08949599415063858)	None	None	None	None	None	None	None	0	False	0	nan	1.9980632688988174
0.09000000637024641	(2.023630142211914, 2.481673002243042, -27.99071502685547)	(0.009225708432495594, 0.999956488609314, -0.0013679738622158766)	(0.001433824305422604, 0.05448880419135094, 0.1015140488743782)	None	None	None	None	None	None	None	0	False	0	nan	1.9980460633190384
0.1400000099092722	(2.0227973461151123, 2.486565351486206, -27.98377799987793)	(0.00873519480228424, 0.99996018409729, -0.0018416618695482612)	(-0.05011105164885521, 0.1404915452003479, 0.15300016105175018)	None	None	None	None	None	None	None	1	False	0	nan	1.9971591333327923
0.19000001344829798	(2.0184621810913086, 2.4957478046417236, -27.9753475189209)	(0.005987195763736963, 0.999980628490448, -0.0016977727646008134)	(-0.11133977025747299, 0.2123982310295105, 0.18778778612613678)	None	None	None	None	None	None	None	1	False	0	nan	1.9927225344054464
0.24000001698732376	(2.0145273208618164, 2.5070385932922363, -27.963659286499023)	(0.0031254964414983988, 0.9999935626983643, -0.0017213356913998723)	(-0.02698018215596676, 0.23832011222839355, 0.2791474163532257)	None	None	None	None	None	None	None	1	False	0	nan	1.988662864955792
0.29000002052634954	(2.0145952701568604, 2.5196008682250977, -27.94877052307129)	(0.002719035604968667, 0.9999945759773254, -0.0018281724769622087)	(0.011715702712535858, 0.2694075405597687, 0.30625686049461365)	None	None	None	None	None	None	None	1	False	0	nan	1.9885916772370862
0.34000002406537533	(2.0145511627197266, 2.534414291381836, -27.933805465698242)	(0.0032049717847257853, 0.9999925494194031, -0.0021119185257703066)	(-0.011208378709852695, 0.31021347641944885, 0.3021039068698883)	None	None	None	None	None	None	None	2	False	0	nan	1.9883835071798928
0.3900000276044011	(2.0135152339935303, 2.5505099296569824, -27.918094635009766)	(0.003182643325999379, 0.9999911189079285, -0.002756647765636444)	(-0.010351327247917652, 0.3402494788169861, 0.3229276239871979)	None	None	None	None	None	None	None	2	False	0	nan	1.9871693755574251
0.4400000311434269	(2.0135655403137207, 2.567506790161133, -27.901521682739258)	(0.002816075924783945, 0.9999884366989136, -0.003915654961019754)	(0.012262726202607155, 0.34058454632759094, 0.3286575376987457)	None	None	None	None	None	None	None	2	False	0	nan	1.987031430915863
0.4900000346824527	(2.0155797004699707, 2.584052562713623, -27.88468360900879)	(0.0033921964932233095, 0.9999789595603943, -0.005526702385395765)	(0.056022778153419495, 0.3204168975353241, 0.3353302478790283)	None	None	None	None	None	None	None	2	False	0	nan	1.9888622156600118
