,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,3,0:38:12.064844,0:27:29.593811,0:00:05.045674,1:05:46.704329
1,1,5,0:00:00.018000,0:17:09.612022,0:01:45.000150,0:18:54.630172
2,2,5,0:00:00.019003,0:25:28.764131,0:02:37.631326,0:28:06.414460
3,3,6,0:00:00.017001,0:19:58.211616,0:02:36.722705,0:22:34.951322
4,4,7,0:00:00.016998,0:20:07.634749,0:03:12.405506,0:23:20.057253
5,5,8,0:00:00.013997,0:19:06.292130,0:03:28.983843,0:22:35.289970
6,6,8,0:00:00.014001,0:16:15.445217,0:03:54.444239,0:20:09.903457
7,7,9,0:00:00.013000,0:16:50.979497,0:04:01.539548,0:20:52.532045
8,8,10,0:00:00.014000,0:18:03.583226,0:04:26.100145,0:22:29.697371
9,9,10,0:00:00.014999,0:40:18.382562,0:05:07.297023,0:45:25.694584
