,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,3,0.170045494437659,"[0.04000000000000001, 0.03, 0.06]"
1,1,5,0.15437488296739588,"[0.04000000000000001, 0.04000000000000001, 0.03, 0.04, 0.06]"
2,2,5,0.15437488296739588,"[0.04000000000000001, 0.04000000000000001, 0.03, 0.04, 0.06]"
3,3,6,0.1838980505187687,"[0.04000000000000001, 0.04000000000000001, 0.03, 0.04, 0.04000000000000001, 0.06]"
4,4,7,0.18294526251213022,"[0.04000000000000001, 0.04000000000000001, 0.03, 0.04, 0.03, 0.05, 0.06]"
5,5,8,0.1813850782448955,"[0.04000000000000001, 0.04000000000000001, 0.03, 0.04, 0.03, 0.05, 0.06, 0.060000000000000005]"
6,6,8,0.1776350782448955,"[0.04000000000000001, 0.03, 0.04000000000000001, 0.03, 0.04, 0.03, 0.05, 0.060000000000000005]"
7,7,9,0.1798911087003171,"[0.04000000000000001, 0.03, 0.009999999999999995, 0.04000000000000001, 0.03, 0.04, 0.03, 0.05, 0.060000000000000005]"
8,8,10,0.1874601271904264,"[0.04000000000000001, 0.03, 0.009999999999999995, 0.04000000000000001, 0.06000000000000001, 0.03, 0.04, 0.03, 0.05, 0.060000000000000005]"
9,9,10,0.1844601271904264,"[0.04000000000000001, 0.009999999999999995, 0.04000000000000001, 0.03, 0.04000000000000001, 0.010000000000000002, 0.03, 0.04, 0.03, 0.05]"
