timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(2.0239598751068115, 2.480642318725586, -28)	(0.009620939381420612, 0.9999536871910095, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	nan	1.9979954041038714
0.20000000298023224	(2.0237042903900146, 2.4826996326446533, -27.969650268554688)	(0.008623278699815273, 0.9999472498893738, -0.0055864956229925156)	(-0.025306079536676407, 0.10628440231084824, 0.16062361001968384)	-55.371371898933624	0.13022917047382523	0	0	0.9796056395656398	0.9796056395656398	0.07373924844780143	1	False	0	nan	1.9977165650285733
0.441000010818243	(2.0250279903411865, 2.609236717224121, -27.852405548095703)	(0.008867408148944378, 0.9999346733093262, -0.00721050426363945)	(0.038351330906152725, 0.8326284885406494, 0.9092841744422913)	-68.76159667968788	0.13482666015625	0	0	0.980221771711111	0.980221771711111	2.7621238471176475	4	False	0	nan	1.9976033381045661
0.6765000224113464	(2.038229465484619, 2.832893133163452, -27.740478515625)	(0.017071440815925598, 0.9998490810394287, -0.0032410360872745514)	(0.08150775730609894, 1.2891464233398438, 0.03131788596510887)	-69.35659155245406	0.13599331676959991	0	0	0.9559058177940033	0.9559058177940033	3.7860053011902948	5	False	0	nan	1.9920721755165822
0.910000029951334	(2.0654752254486084, 3.3005247116088867, -27.758333206176758)	(0.026391129940748215, 0.9995177984237671, 0.01635567657649517)	(0.15721985697746277, 2.777560234069824, -0.022127052769064903)	-60.93125425279177	0.11947304755449295	0	0	0.9457261909080419	0.9457261909080419	4.135352024384753	10	False	0	nan	1.9708417323912577
1.143250036984682	(2.1240897178649902, 4.130297660827637, -27.76108169555664)	(0.045092951506376266, 0.9987655282020569, 0.020832320675253868)	(0.3459751605987549, 4.367386341094971, 0.016762854531407356)	-55.80575488507723	0.10942304879426956	0	0	0.8280265963925669	0.8280265963925669	6.141030635750953	16	False	0	nan	1.9232003320488342
1.377500046044588	(2.2206666469573975, 5.333242893218994, -27.75957679748535)	(0.07110155373811722, 0.997269332408905, 0.01996142603456974)	(0.5148420929908752, 5.943066120147705, 0.023460431024432182)	-40.51786422729518	0.07944679260253906	0	0	0.5840882071451692	0.5840882071451692	6.684494655936554	21	False	0	nan	1.8439189349003273
1.6107500530779362	(2.371727466583252, 6.873845100402832, -27.760026931762695)	(0.09225159883499146, 0.9956215023994446, 0.015085935592651367)	(0.7554324865341187, 7.089810371398926, -0.016789281740784645)	-28.881969004869855	0.056631311774253845	0	0	0.29119289452672736	0.29119289452672736	7.391130259037283	26	False	0	nan	1.7171541279254698
1.8432500585913658	(2.5624046325683594, 8.510821342468262, -27.768266677856445)	(0.11098454892635345, 0.9938160181045532, -0.0034936114680022)	(0.8506477475166321, 6.853626251220703, -0.03433116525411606)	-28.98740574717558	0.05683805048465729	0	0	0	0	6.937856647699437	25	False	0	nan	1.5543643775229807
2.076500065624714	(2.7454638481140137, 10.07899284362793, -27.773372650146484)	(0.11427699774503708, 0.9933711886405945, -0.01242454070597887)	(0.7000818848609924, 6.567714214324951, -0.016434088349342346)	21.60282690078015	-0.042358484119176865	0	0	0	0	6.6936297654280965	24	False	0	nan	1.3996825817341136
