,Generation id,Number of archives,Average fog density,Standard deviation of fog density
0,0,2,0.14047596012885033,"[0.015000000000000003, 0.015]"
1,1,5,0.12067592711522715,"[0.015000000000000003, 0.030000000000000006, 0.015, 0.035, 0.015]"
2,2,11,0.12088017678683992,"[0.015000000000000003, 0.030000000000000006, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02]"
3,3,17,0.13780153539716036,"[0.015000000000000003, 0.030000000000000006, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02, 0.039999999999999994, 0.075, 0.065, 0.035, 0.025, 0.0050000000000000044]"
4,4,21,0.13521016907300226,"[0.015000000000000003, 0.030000000000000006, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02, 0.039999999999999994, 0.075, 0.065, 0.035, 0.025, 0.0050000000000000044, 0.05500000000000001, 0.015000000000000003, 0.08, 0.025]"
5,5,24,0.14269571432813763,"[0.015000000000000003, 0.030000000000000006, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02, 0.039999999999999994, 0.075, 0.065, 0.035, 0.025, 0.0050000000000000044, 0.05500000000000001, 0.015000000000000003, 0.08, 0.025, 0.085, 0.030000000000000013, 0.07]"
6,6,26,0.1485878009706742,"[0.015000000000000003, 0.05500000000000001, 0.030000000000000006, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02, 0.039999999999999994, 0.075, 0.065, 0.035, 0.025, 0.0050000000000000044, 0.05500000000000001, 0.015000000000000003, 0.08, 0.025, 0.085, 0.030000000000000013, 0.07, 0.05]"
7,7,32,0.15310548380373823,"[0.015000000000000003, 0.05500000000000001, 0.09000000000000001, 0.05, 0.06000000000000001, 0.010000000000000009, 0.02, 0.029999999999999995, 0.030000000000000006, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02, 0.039999999999999994, 0.075, 0.065, 0.035, 0.025, 0.0050000000000000044, 0.05500000000000001, 0.015000000000000003, 0.08, 0.025, 0.085, 0.030000000000000013, 0.07, 0.05]"
8,8,35,0.15532161115552123,"[0.015000000000000003, 0.05500000000000001, 0.09000000000000001, 0.05, 0.06000000000000001, 0.010000000000000009, 0.02, 0.029999999999999995, 0.10000000000000003, 0.11, 0.030000000000000006, 0.030000000000000002, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02, 0.039999999999999994, 0.075, 0.065, 0.035, 0.025, 0.0050000000000000044, 0.05500000000000001, 0.015000000000000003, 0.08, 0.025, 0.085, 0.030000000000000013, 0.07, 0.05]"
9,9,39,0.15910077281661478,"[0.015000000000000003, 0.05500000000000001, 0.09000000000000001, 0.05, 0.06000000000000001, 0.010000000000000009, 0.02, 0.029999999999999995, 0.10000000000000003, 0.11, 0.030000000000000006, 0.030000000000000002, 0.060000000000000005, 0.135, 0.08, 0.03, 0.015, 0.035, 0.015, 0.015000000000000006, 0.05499999999999999, 0.035, 0.03, 0.02500000000000001, 0.02, 0.039999999999999994, 0.075, 0.065, 0.035, 0.025, 0.0050000000000000044, 0.05500000000000001, 0.015000000000000003, 0.08, 0.025, 0.085, 0.030000000000000013, 0.07, 0.05]"
