,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,2,0:41:35.687544,0:27:46.236333,0:00:03.561789,1:09:25.485666
1,1,5,0:00:00.064000,0:17:08.334919,0:01:04.883789,0:18:13.282708
2,2,11,0:00:00.085001,0:29:47.221855,0:02:28.877767,0:32:16.184623
3,3,17,0:00:00.099000,0:28:56.443127,0:05:18.991207,0:34:15.533334
4,4,21,0:00:00.071000,0:23:55.627098,0:08:11.401437,0:32:07.099535
5,5,24,0:00:00.060000,0:19:55.145183,0:10:00.016078,0:29:55.221261
6,6,26,0:00:00.069999,0:20:06.241586,0:11:26.494575,0:31:32.806160
7,7,32,0:00:00.065000,0:18:43.140717,0:12:22.815735,0:31:06.021452
8,8,35,0:00:00.079999,0:26:40.662461,0:15:14.092423,0:41:54.834883
9,9,39,0:00:00.086002,0:27:56.048313,0:16:35.939168,0:44:32.073483
